Date / Time,City,State,Shape,Duration,Summary,Posted
11/18/98 18:00,Kodiak,AK,Light,2-3 minutes,3 lights in the dark clear sky manuvering in an uncomprhensable pattern at a high rate of speed over kodiak in nov 1998.,12/12/2009
11/19/10 16:10,Juneau,AK,Fireball,60 seconds,"Missile like fireball seen in Juneau, Alaska.",11/21/2010
11/2/12 22:00,Homer,AK,Flash,20 minutes,Strobe light,11/19/2012
11/2/12 22:30,Soldotna,AK,Flash,10 minutes,3 bright consecutive flashes of light.,11/4/2012
11/2/13 20:23,Wasilla,AK,Disk,5 minutes,"A UFO was photographed, but Men in Black came and confiscated the evidence.",11/11/2013
11/2/15 0:00,Nikiski,AK,,Unknown,"This is all over the morning radio. Several calls from residents in Nikiski, AK, reporting strange lights of different colors all over.",11/6/2015
11/20/13 18:00,Kuparuk,AK,Light,5 seconds,White blue light in sky appears and hyperdrives away like it never happened.,12/2/2013
11/20/14 22:00,Fairbanks,AK,Unknown,30 seconds,"Flat platform with intense white, red and blue lights silently hovering only thirty feet or so above a residential area in town.",4/17/2015
11/22/12 19:05,Fairbanks,AK,Light,~3 minutes,Unidentified orange lights over Fairbanks Alaska.,12/20/2012
11/22/69 17:00,Kenai,AK,Light,5 minutes,My brother and I saw what we thought was a car approaching on the rise of a hill. The lights were so bright we turned our eyes away fr,1/11/2002
11/23/11 11:00,Anchorage,AK,Circle,1100,"This incident took place on 11-23-11, I had just passed Alaska Regional Hospital and was heading West on Debarr Rd. and had just crosse",12/12/2011
11/23/93 11:24,Fairbanks,AK,Cigar,3 minutes,"Me and one of my friends were coming home from sledding when we saw a mettalic, cigar shaped, UFO hovering in the air emitting a blue b",6/2/1998
11/24/03 18:32,Fairbanks,AK,Disk,5 Minutes,"UFO speeding south, westward of Fairbanks.",12/9/2003
11/25/12 19:50,Anchorage,AK,Light,90 minutes,Object emitted another object.,12/20/2012
11/27/15 17:30,Anchorage,AK,Unknown,4-5 minutes,"I saw two pulsating light blue colored lights fairly high in the sky, noiseless, moving very slowly in a southerly direction.",12/3/2015
11/27/99 11:00,Seward,AK,Circle,,the clouds parted and there was a unusual bright orange sphere in the sky that lit up everything.,11/30/1999
11/28/06 17:20,Anchorage,AK,Light,3 seconds,an amazingly fast blue-green light pulsing to the chugach mountains in south anchorage,12/7/2006
11/29/16 6:00,Anchor Point,AK,Fireball,40 minutes,Glowing flashing orbs moving erratically.,12/5/2016
11/3/15 18:00,Eagle River,AK,Chevron,30seconds,"V-shaped, silent, no lights, transparent object seen for 30 seconds on 11/3/2015 at 6:45 pm.",11/6/2015
11/3/94 20:30,Palmer (10 miles north of),AK,Light,20 MINUTES,"No sound, traveled extremly fast. Appeared to dip down into the trees. It's incredible light made no reflection onto us or the groud.",11/2/1999
11/4/01 22:30,Newhalen,AK,Light,2 hours,Bright red light fills sky.,11/20/2001
11/4/12 19:15,Anchorage,AK,Light,3-5 minutes,"3 orange ""stars,"" brighter than reg stars in a hazy night sky. non-moving then fading out. triangle formation.",11/19/2012
11/5/07 20:30,Anchorage,AK,Triangle,4-5 seconds,Triangular shaped UFO blocks out starlight Anchorage evening sky,11/28/2007
11/5/13 18:05,Wasilla,AK,Disk,2 minutes,"One object flying east to west over Wasilla area...Well lit displaying bright white, green and red colors. Flying very erratically.",11/11/2013
11/5/16 18:20,Fairbanks,AK,Light,10 minutes,Strange Orange Lights over the Alaska Range While Flying from Anchorage to Fairbanks.,12/5/2016
11/7/00 0:10,Homer,AK,Other,"<5 seconds, and many mins",dark road....felt strange.....triangle.....,12/2/2000
11/7/12 19:45,Wasilla - Susitna Delta,AK,Light,2 minutes,"6 orange orbs hovering north east of Wasilla, Alaska and 1orange orb traveling west over Susitna river delta.",11/19/2012
11/8/12 16:30,Ketchikan,AK,Light,15-20 seconds,White light flew across sky and then shot strait up faded to red and dissapeared,11/19/2012
11/8/13 23:00,Fairbanks,AK,Unknown,,Saw bright orange and blue lights above on civilian side of birch hill while at viewing spot with friends.,12/12/2013
11/9/12 22:00,Ketchikan,AK,Light,2 hours,Square formation of 4 lighthouse like beacons rotating in sequence clockwise.,11/19/2012
11/9/13 17:30,Kuparuk Oilfield,AK,Light,Minutes,"Light in sky very strange, but believed to be noctilucent clouds seen through dark, lower clouds.",11/20/2013
11/9/13 17:30,Kuparuk Oilfield,AK,Light,10 minutes,Bright light above the clouds shines a beam down which does not reach the ground.,11/11/2013
12/1/01 1:00,Turnagain Pass,AK,Sphere,15 Min,Giant ship seen hovering in Turnagain Pass,7/13/2005
12/1/09 16:00,Kaktovik,AK,Light,30 minutes,Three lights dancing around each other,12/12/2009
12/10/13 23:15,Fairbanks,AK,Unknown,7-14 seconds,"Brights orange lights flashing, and disappeared out of sky instantly",12/23/2013
12/10/13 23:50,Anchorage,AK,Light,3 minutes,Red light with yellow edges pulsating and stationary to the south of Anchorage just below overcast cloud cover which provided me with a,12/12/2013
12/10/15 23:30,Anchorage,AK,Unknown,>30 minutes,The lights were changing colors blue and red.moved in all dir.but continued to remain in one position. ((NUFORC Note: Sirius? PD)),12/17/2015
12/11/13 8:25,Anchorage,AK,Fireball,2 seconds,Anchorage meteor ufo Spenard area.,12/12/2013
12/12/00 22:00,North Pole,AK,Unknown,2-10 minutes,Strange black craft that blocks out stars.,5/24/2005
12/12/13 22:30,North Pole,AK,Flash,2-3 seconds,Dim flash of orange lasting a few seconds that came from above and illuminated 30 ft. trees.,12/23/2013
12/12/89 7:00,Douglas Island,AK,Sphere,ten seconds,the object seemed to use cloud cover to hide behind,2/12/2004
12/14/12 8:20,Wasilla,AK,Fireball,,"Saw 4 glowing red orange dots falling in formation in Palmer, Alaska.",12/20/2012
12/14/13 18:50,Anchorage,AK,Flash,Seconds,Strange flash in the sky.,12/23/2013
12/15/00 10:00,Savoonga,AK,Disk,20 seconds,Looked like a spinning disk on apple computers when waiting for a program to load.,5/13/2012
12/15/00 16:36,North Pole,AK,Sphere,60+ minutes,"Bright Orange Sphere hovering low on horizon, rotating with ""outer aurora"" glow. Identical to objects reported in 09/24/98 and 02/10/99",12/20/2000
12/15/01 0:00,Cordova,AK,Sphere,10 minutes,the object hovered over the airstrip,1/5/2011
12/15/05 1:30,Wasilla,AK,Triangle,3 1/2 to 4 minutes,Stealth shapped silent object with no noise or vibration from north to south at slow sped and low altitude.,2/1/2007
12/15/06 12:00,Wasilla,AK,Oval,1 minute,it is round and oval and its really fast.,2/1/2007
12/15/98 20:00,Fairbanks,AK,Formation,5 minutes,"formation of brilliant amber-orange lights completely silent over Fairbanks, AK",12/12/2009
12/16/10 12:00,Anchorage,AK,Circle,Dabarr,What The Hell Is that in the sky?? ((NUFORC Note: Possible hoax?? PD)),1/5/2011
12/17/09 20:00,Delta Junction,AK,Triangle,1 minute,Triangular shaped object with no noticeable noise and green lights.,6/22/2017
12/18/15 1:30,Anchorage,AK,Unknown,>30 minutes,At 1:30 am saw 2 crafts flashing red and white.as we kept watching.there was objects in all directions flashing the same.they were stat,12/21/2015
